instruction,extension,isa_bases,evidence_kind,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,sample_files
fmsub.s,F,RV32;RV64,hdl,0,19,19,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
fmul.d,D,RV32;RV64,hdl,0,19,19,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
fmul.s,F,RV32;RV64,hdl,0,19,19,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
fmv.d.x,D,RV64,hdl,0,19,19,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
fnmadd.d,D,RV32;RV64,hdl,0,19,19,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
fnmadd.s,F,RV32;RV64,hdl,0,19,19,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
fnmsub.d,D,RV32;RV64,hdl,0,19,19,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
fnmsub.s,F,RV32;RV64,hdl,0,19,19,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
fsub.d,D,RV32;RV64,hdl,0,19,19,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
fsub.s,F,RV32;RV64,hdl,0,19,19,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/execution-units/fpu.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala
